Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest",305,1,10,2,200,18.18,Fletcher,140,0,6,0,80,13.33,20
"
Vista Del Lago A",320,2,9,2,210,19.09,Cistercian A,165,2,6,5,100,12.50,22
"
East Chapel Hill A",425,3,11,0,270,19.29,James E. Taylor,275,3,5,0,180,22.50,23
"
Canyon Crest A",275,0,10,3,190,19.00,Jesuit,130,0,6,2,80,13.33,18
"
Mandarin",240,1,11,1,120,10.00,Detroit Country Day B,95,0,5,1,50,10.00,23
"
Eastlake",215,0,9,1,130,14.44,Wayzata D,75,0,4,3,50,12.50,21
"
Okemos",345,2,9,1,230,20.91,"Henderson County (Henderson, KY)",210,1,8,5,140,15.56,21
"
White Station A",355,3,8,2,240,21.82,South Burlington,235,1,8,2,150,16.67,22
"
Emmaus",250,0,10,0,150,15.00,Wayzata F,130,0,6,2,80,13.33,21
"
Wayzata G",220,0,9,0,130,14.44,Ysleta,105,1,4,0,50,10.00,20
"
Berwick",170,1,7,3,100,12.50,Wando B,55,0,4,1,20,5.00,22
"
Friends Select A",230,0,10,0,130,13.00,Loyola Academy,115,0,6,3,70,11.67,19
